2020-11-09 15:07:17.155 [main] INFO  com.zmj.ZmjApplication - Starting ZmjApplication on gaihongweideMacBook-Air.local with PID 1933 (/Users/gaihongwei/tools/eclipse/workspace/zmj02/target/classes started by gaihongwei in /Users/gaihongwei/tools/eclipse/workspace/zmj02)
2020-11-09 15:07:17.159 [main] INFO  com.zmj.ZmjApplication - No active profile set, falling back to default profiles: default
2020-11-09 15:07:18.772 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'btcDao' and 'com.zmj.dao.btcd.BtcDao' mapperInterface. Bean already defined with the same name!
2020-11-09 15:07:18.773 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'tbCurrencyInfoDao' and 'com.zmj.dao.platform.TbCurrencyInfoDao' mapperInterface. Bean already defined with the same name!
2020-11-09 15:07:18.773 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'mainDao' and 'com.zmj.dao.orther.base.MainDao' mapperInterface. Bean already defined with the same name!
2020-11-09 15:07:18.773 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'documentarySmsDao' and 'com.zmj.dao.orther.future.DocumentarySmsDao' mapperInterface. Bean already defined with the same name!
2020-11-09 15:07:18.773 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'fexDao' and 'com.zmj.dao.orther.regular.FexDao' mapperInterface. Bean already defined with the same name!
2020-11-09 15:07:18.774 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.zmj.dao]' package. Please check your configuration.
2020-11-09 15:07:19.248 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-11-09 15:07:19.259 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-11-09 15:07:19.374 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53ms. Found 0 Redis repository interfaces.
2020-11-09 15:07:20.775 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 19112 (http)
2020-11-09 15:07:20.807 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-19112"]
2020-11-09 15:07:20.808 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-11-09 15:07:20.809 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-11-09 15:07:21.073 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-11-09 15:07:21.074 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3785 ms
2020-11-09 15:07:22.808 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-11-09 15:07:23.004 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-11-09 15:07:23.917 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-19112"]
2020-11-09 15:07:24.017 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 19112 (http) with context path ''
2020-11-09 15:07:24.064 [main] INFO  com.zmj.ZmjApplication - Started ZmjApplication in 8.61 seconds (JVM running for 9.827)
2020-11-09 15:07:34.490 [http-nio-19112-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-09 15:07:34.491 [http-nio-19112-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-09 15:07:34.511 [http-nio-19112-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 19 ms
2020-11-09 15:07:40.720 [http-nio-19112-exec-2] INFO  com.zmj.commom.trx.Trc20Utils - block num is : {"blockID":"000000000026951b0267a6106592a00525741f17fb2304c5b5e8d19fc18add73","block_header":{"raw_data":{"number":2528539,"txTrieRoot":"d797e922bdd966fbacd1faa2f94c7023abcd503f2b47127142327816584dd310","witness_address":"413e0c8028c8aa5e57fa0fb11af96a57e0a2e8b15d","parentHash":"000000000026951ab1e7e1aa32c8bcaedc3982097f3cb3f39531b4c57f965e7d","version":17,"timestamp":1604905347000},"witness_signature":"1b55f730cd3734cf96b1bd917e150ba10ae9a2a48548546f8b61e5f7a0d9f48e0a1fd3da8591c955063946c034eb0a47e57bbd35f2297df8105db6c2c1fd5d4700"},"transactions":[{"ret":[{"contractRet":"SUCCESS"}],"signature":["10a00a1f49b9e554792d730b50bd48b7843d9811ce07957a77b86825174d702506d584e6fe7a069ec4ce7e67d968a53df0347764c1e760da48e9bc64366a0d8000"],"txID":"46c5e529606fc574ca841c507f3ad89c550d4882fbbcba72f2090b02b4434a07","raw_data":{"contract":[{"parameter":{"value":{"data":"a9059cbb000000000000000000000041bb8c1a5d2e3f9ae29205b6f445f37f6416e160ef000000000000000000000000000000000000000000000000000000000039f008","owner_address":"414311f08873669b35f995e0bfb603509e1d96c380","contract_address":"4181aebbded41c5372b6e44a2f0d47ff60fe488f09"},"type_url":"type.googleapis.com/protocol.TriggerSmartContract"},"type":"TriggerSmartContract"}],"ref_block_bytes":"951a","ref_block_hash":"b1e7e1aa32c8bcae","expiration":1604905404000,"fee_limit":1000000000,"timestamp":1604905344355},"raw_data_hex":"0a02951a2208b1e7e1aa32c8bcae40e08cc4deda2e5aae01081f12a9010a31747970652e676f6f676c65617069732e636f6d2f70726f746f636f6c2e54726967676572536d617274436f6e747261637412740a15414311f08873669b35f995e0bfb603509e1d96c38012154181aebbded41c5372b6e44a2f0d47ff60fe488f092244a9059cbb000000000000000000000041bb8c1a5d2e3f9ae29205b6f445f37f6416e160ef000000000000000000000000000000000000000000000000000000000039f00870e3bac0deda2e90018094ebdc03"}]}
