2020-12-03 10:18:12.928 [main] INFO  com.zmj.ZmjApplication - Starting ZmjApplication on gaihongweideMacBook-Air.local with PID 21114 (/Users/gaihongwei/tools/eclipse/workspace/zmj-resttemplate/target/classes started by gaihongwei in /Users/gaihongwei/tools/eclipse/workspace/zmj-resttemplate)
2020-12-03 10:27:21.705 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'documentarySmsDao' and 'com.zmj.dao.orther.future.DocumentarySmsDao' mapperInterface. Bean already defined with the same name!
2020-12-03 10:27:21.705 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'fexDao' and 'com.zmj.dao.orther.regular.FexDao' mapperInterface. Bean already defined with the same name!
2020-12-03 10:27:21.705 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'projectDao' and 'com.zmj.dao.platform.ProjectDao' mapperInterface. Bean already defined with the same name!
2020-12-03 10:27:21.705 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'tbCurrencyInfoDao' and 'com.zmj.dao.platform.TbCurrencyInfoDao' mapperInterface. Bean already defined with the same name!
2020-12-03 10:27:21.706 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userDao' and 'com.zmj.dao.platform.UserDao' mapperInterface. Bean already defined with the same name!
2020-12-03 10:27:21.706 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.zmj.dao]' package. Please check your configuration.
2020-12-03 10:27:22.033 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-03 10:27:22.038 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-12-03 10:27:22.134 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63ms. Found 0 Redis repository interfaces.
2020-12-03 10:27:23.140 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 19113 (http)
2020-12-03 10:27:23.164 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-19113"]
2020-12-03 10:27:23.165 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-03 10:27:23.166 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-12-03 10:27:23.430 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-03 10:27:23.431 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2542 ms
2020-12-03 10:27:25.359 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-03 10:27:25.525 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2020-12-03 10:27:25.940 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-19113"]
2020-12-03 10:27:25.993 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 19113 (http) with context path ''
2020-12-03 10:27:26.011 [main] INFO  com.zmj.ZmjApplication - Started ZmjApplication in 26.136 seconds (JVM running for 27.305)
2020-12-03 10:27:44.885 [http-nio-19113-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-03 10:27:44.887 [http-nio-19113-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-03 10:27:44.910 [http-nio-19113-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 22 ms
2020-12-03 10:27:53.893 [http-nio-19113-exec-10] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-12-03 10:27:54.324 [http-nio-19113-exec-10] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-12-03 10:27:54.415 [http-nio-19113-exec-10] INFO  c.z.c.interfaceTest.ProjectManagerController - [ProjectChain(id=47, platform=fex, project=基础组, module=短信验证码, ip=localhost, state=无, creator=test, createDate=Tue Dec 01 14:47:15 CST 2020, modifyDate=Tue Dec 01 14:47:15 CST 2020), ProjectChain(id=37, platform=58ex, project=钱包, module=xrp, ip=localhost, state=ceshi, creator=test, createDate=Mon Nov 30 19:51:41 CST 2020, modifyDate=Mon Nov 30 19:51:41 CST 2020), ProjectChain(id=35, platform=fex, project=钱包, module=xrp, ip=https://s.altnet.rippletest.net:51234, state=xrp相关操作, creator=admin, createDate=Fri Nov 27 16:07:55 CST 2020, modifyDate=Fri Nov 27 16:07:55 CST 2020), ProjectChain(id=33, platform=58ex, project=基础组, module=登录, ip=localhost, state=登录, creator=admin, createDate=Fri Nov 27 16:04:41 CST 2020, modifyDate=Fri Nov 27 16:06:40 CST 2020), ProjectChain(id=34, platform=58ex, project=基础组, module=充值, ip=localhost, state=充值, creator=admin, createDate=Fri Nov 27 16:05:05 CST 2020, modifyDate=Fri Nov 27 16:06:21 CST 2020), ProjectChain(id=32, platform=58ex, project=钱包, module=eth, ip=192.168.112.214, state=eth系列操作, creator=admin, createDate=Fri Nov 27 16:04:10 CST 2020, modifyDate=Fri Nov 27 16:04:10 CST 2020), ProjectChain(id=31, platform=58ex, project=钱包, module=Eos, ip=192.168.112.214, state=eos系列操作, creator=admin, createDate=Fri Nov 27 16:03:26 CST 2020, modifyDate=Fri Nov 27 16:03:26 CST 2020), ProjectChain(id=30, platform=58ex, project=钱包, module=btc, ip=192.168.112.68, state=btc系列操作, creator=admin, createDate=Fri Nov 27 16:02:44 CST 2020, modifyDate=Fri Nov 27 16:02:44 CST 2020)]
2020-12-03 10:28:08.299 [http-nio-19113-exec-4] INFO  c.z.c.interfaceTest.ProjectManagerController - [ProjectChain(id=47, platform=fex, project=基础组, module=短信验证码, ip=localhost, state=无, creator=test, createDate=Tue Dec 01 14:47:15 CST 2020, modifyDate=Tue Dec 01 14:47:15 CST 2020), ProjectChain(id=35, platform=fex, project=钱包, module=xrp, ip=https://s.altnet.rippletest.net:51234, state=xrp相关操作, creator=admin, createDate=Fri Nov 27 16:07:55 CST 2020, modifyDate=Fri Nov 27 16:07:55 CST 2020), ProjectChain(id=33, platform=58ex, project=基础组, module=登录, ip=localhost, state=登录, creator=admin, createDate=Fri Nov 27 16:04:41 CST 2020, modifyDate=Fri Nov 27 16:06:40 CST 2020), ProjectChain(id=34, platform=58ex, project=基础组, module=充值, ip=localhost, state=充值, creator=admin, createDate=Fri Nov 27 16:05:05 CST 2020, modifyDate=Fri Nov 27 16:06:21 CST 2020), ProjectChain(id=32, platform=58ex, project=钱包, module=eth, ip=192.168.112.214, state=eth系列操作, creator=admin, createDate=Fri Nov 27 16:04:10 CST 2020, modifyDate=Fri Nov 27 16:04:10 CST 2020), ProjectChain(id=31, platform=58ex, project=钱包, module=Eos, ip=192.168.112.214, state=eos系列操作, creator=admin, createDate=Fri Nov 27 16:03:26 CST 2020, modifyDate=Fri Nov 27 16:03:26 CST 2020), ProjectChain(id=30, platform=58ex, project=钱包, module=btc, ip=192.168.112.68, state=btc系列操作, creator=admin, createDate=Fri Nov 27 16:02:44 CST 2020, modifyDate=Fri Nov 27 16:02:44 CST 2020)]
